f1,f2,f3,f4,f5,val_score
abs_max_roll_std_100,q05_roll_std_1000,q05_roll_mean_100,classic_sta_lta1_q95,classic_sta_lta1_mean,2.350905179977417
q99,av_change_abs_roll_std_10,ave_roll_std_10,modified_sta_lta5_mean,mad,2.350916147232056
abs_q05,Moving_average_6000_mean,modified_sta_lta2_q95,q05_roll_std_100,modified_sta_lta4_mean,2.35092830657959
ave_roll_std_100,mean_change_rate_first_50000,modified_sta_lta1_mean,q05_roll_std_1000,modified_sta_lta5_q05,2.3510050773620605
max_first_10000,q05_roll_std_1000,av_change_rate_roll_std_1000,max_to_min,classic_sta_lta2_q05,2.3510186672210693
classic_sta_lta1_q95,q05_roll_std_10,modified_sta_lta3_q95,av_change_rate_roll_mean_10_v2,modified_sta_lta5_q05,2.351080894470215
sum,q05_roll_std_10,Moving_average_3000_mean,q05_roll_std_1000,q99_roll_std_10,2.351082324981689
std_first_50000,max_last_50000,modified_sta_lta1_q05,q95,q05_roll_std_1000,2.351179838180542
modified_sta_lta1_mean,max_to_min,q05_roll_std_10,q95_roll_std_100,modified_sta_lta6_q95,2.351190090179444
q05_roll_std_10,q99_roll_std_1000,std_roll_mean_1000,classic_sta_lta6_q95,classic_sta_lta5_mean,2.351254463195801
ave10,q05_roll_std_1000,av_change_rate_roll_std_10,max_last_10000,ave_roll_mean_1000,2.351303100585937
q05_roll_std_100,modified_sta_lta5_mean,ave_roll_mean_100,q95,min,2.3514037132263184
max_roll_mean_10,mean_change_rate_last_50000,classic_sta_lta1_q05,q05_roll_std_1000,q05_roll_std_10,2.35150408744812
min_first_50000,classic_sta_lta8_q05,freq_cross_last_50000,modified_sta_lta5_q05,q05_roll_std_10,2.3515803813934326
q05_roll_std_1000,q95,classic_sta_lta8_mean,exp_Moving_average_30000_mean,mean_change_rate_last_50000_v2,2.351580619812012
q05_roll_std_10,Moving_average_700_mean,q05_roll_std_1000,max_roll_mean_10,mean_change_rate_v2,2.3516271114349365
modified_sta_lta4_mean,ave_roll_mean_1000,abs_q05,skew,q05_roll_std_10,2.35163950920105
q99,q05_roll_std_1000,modified_sta_lta1_mean,modified_sta_lta7_q95,q01_roll_std_10,2.351692676544189
Moving_average_6000_mean,q05_roll_std_1000,max_to_min_diff,Imax,classic_sta_lta1_q95,2.3517069816589355
q05_roll_std_100,av_change_rate_roll_mean_10,std_roll_std_100,abs_q05,MA_400MA_BB_high_mean,2.3517606258392334
modified_sta_lta8_q05,Rmean_last_5000,modified_sta_lta5_q05,q05_roll_std_10,Rstd__last_5000,2.3518002033233643
classic_sta_lta1_mean,classic_sta_lta2_q05,q05_roll_std_10,std_roll_mean_1000,modified_sta_lta5_mean,2.351801633834839
q05_roll_std_1000,classic_sta_lta8_mean,q01_roll_mean_10,MA_700MA_std_mean,min_first_50000,2.35190749168396
classic_sta_lta5_mean,min_last_10000,q05_roll_std_1000,MA_400MA_std_mean,std_roll_mean_10,2.351914405822754
q95_roll_std_100,q05_roll_std_1000,modified_sta_lta5_mean,mean_change_rate_last_50000_v2,q95_roll_mean_100,2.3519537448883057
q99_roll_mean_100,Rmax_last_15000,min_first_50000,classic_sta_lta8_q95,q05_roll_std_1000,2.3519537448883057
mean_change_rate_first_10000,q05_roll_std_10,classic_sta_lta7_mean,MA_700MA_std_mean,abs_max,2.351978302001953
q05_roll_std_10,modified_sta_lta1_q95,Moving_average_1500_mean,Rstd__last_5000,mean_change_rate,2.3520488739013667
Rmean,av_change_rate_roll_std_10,Moving_average_30000_mean,q05_roll_std_1000,max_first_10000,2.3520989418029785
classic_sta_lta1_q95,q05_roll_std_10,avg_first_50000,modified_sta_lta1_q95,MA_400MA_BB_low_mean,2.352101325988769
Imean,ave_roll_mean_10,av_change_rate_roll_std_1000,q05_roll_std_1000,q95,2.3521275520324707
modified_sta_lta3_q95,q05_roll_std_100,classic_sta_lta1_q95,Imean,std_roll_mean_100,2.352132558822632
abs_min,q05_roll_std_1000,classic_sta_lta7_mean,ave_roll_mean_10,MA_400MA_BB_high_mean,2.35213565826416
q99_roll_std_10,Moving_average_30000_mean,abs_q05,q05_roll_std_100,max_last_50000,2.352141857147217
q05_roll_std_1000,avg_first_50000,modified_sta_lta6_q05,modified_sta_lta5_q05,mean_change_rate,2.352208614349365
min_roll_mean_100,max_to_min,modified_sta_lta1_q95,min_first_50000,q05_roll_std_1000,2.3522512912750244
mad,q05_roll_std_10,classic_sta_lta5_mean,classic_sta_lta5_q05,q01_roll_std_100,2.352259635925293
classic_sta_lta7_q05,modified_sta_lta6_q95,q05_roll_std_1000,av_change_abs_roll_std_10,ave_roll_std_100,2.3523685932159424
mean_change_rate_last_50000,q05_roll_std_1000,MA_700MA_std_mean,classic_sta_lta1_mean,classic_sta_lta6_mean,2.3523712158203125
av_change_rate_roll_std_100v2,max,q05_roll_std_1000,max_roll_mean_10,q95_roll_mean_10,2.352372407913208
